xid,f0_tag,f0_scale,f0_cap,f0_elv,f1_cap,f1_elv,f1_scale,f1_tag,f2_cap,f2_elv,f2_scale,f2_tag,zid,fclass,sclass,gel,buck_id
13830,t1,107.86,109000,11.63,50000,9.83,79.06,t3,,,,,30340182,sfd,1sty.70s.bsmt.md.no,10.63,19
13831,t1,119.47,113000,11.36,50000,9.56,119.47,t3,,,,,30340161,sfd,1sty.70s.bsmt.md.no,10.36,19
13834,t1,99.78,67000,11.63,50000,9.83,97.46,t3,50000,10.63,50,t4,30340194,sfd,1sty.old.bsmt.md.carpt,10.63,20
13835,t1,72.93,56500,11.58,,,,,50000,10.58,50,t4,30340193,sfd,1sty.old.crwl.md.gar,10.58,15
13836,t1,80.73,62100,11.57,,,,,50000,10.57,50,t4,30340103,sfd,1sty.old.crwl.md.gar,10.57,15
13837,t1,116.59,93000,11.58,50000,9.78,116.59,t3,50000,10.58,50,t4,30340202,sfd,1sty.old.bsmt.md.gar,10.58,7
13844,t2,117.24,136000,11.14,50000,9.34,117.24,t3,50000,10.14,50,t4,30340191,sfd,1sty.70s.bsmt.md.gar,10.14,3
16163,t2,96.34,94000,11.84,50000,10.04,96.34,t3,50000,10.84,50,t4,30328390,sfd,1sty.70s.bsmt.md.gar,10.84,3
77562,t2,137.619,263118.888,11.7,,,,,50000,10.7,50,t4,30328360,sfd,2sty.80s.slab.md.gar,10.7,1
2595,t2,1089.069,1025000,11.63,,,,,,,,,30341090,mf,D.80s.md.lo,10.63,2
2596,t2,1089.069,1305000,11.82,,,,,,,,,30328371,mf,D.80s.md.lo,10.82,2
