xid,f0_scale,f0_elv
14879,1.0,12.8
14880,1.0,12.8
14925,1.0,12.8
14926,1.0,13.0
14927,1.0,11.27
14928,1.0,11.49
14933,1.0,11.32
14934,1.0,11.18
14935,1.0,11.3
14936,1.0,11.51
14937,1.0,11.22
14938,1.0,11.08
14939,1.0,11.23
14940,1.0,11.31
14941,1.0,11.0
14942,1.0,11.26
14943,1.0,10.9
14944,1.0,11.01
14945,1.0,11.5
14946,1.0,11.23
14947,1.0,11.3
14948,1.0,11.18
14955,1.0,10.92
15152,1.0,11.44
15155,1.0,11.64
17873,1.0,13.26
17899,1.0,11.76
17900,1.0,11.95
17907,1.0,11.09
71528,1.0,11.22
74651,1.0,11.38
75511,1.0,11.6
