xid,0.001,0.005,0.01,0.02,ead
14879,0.0,0.0,0.0,0.0,0.0
14880,0.0,0.0,0.0,0.0,0.0
14925,0.0,0.0,0.0,0.0,0.0
14926,0.0,0.0,0.0,0.0,0.0
14927,1.0,1.0,1.0,1.0,0.26
14928,1.0,1.0,1.0,1.0,0.26
14933,1.0,1.0,1.0,1.0,0.26
14934,1.0,1.0,1.0,1.0,0.26
14935,1.0,1.0,1.0,1.0,0.26
14936,1.0,1.0,1.0,1.0,0.26
14937,1.0,1.0,1.0,1.0,0.26
14938,1.0,1.0,1.0,1.0,0.26
14939,1.0,1.0,1.0,1.0,0.26
14940,1.0,1.0,1.0,1.0,0.26
14941,1.0,1.0,1.0,1.0,0.26
14942,1.0,1.0,1.0,1.0,0.26
14943,1.0,1.0,1.0,1.0,0.26
14944,1.0,1.0,1.0,1.0,0.26
14945,1.0,1.0,1.0,1.0,0.26
14946,1.0,1.0,1.0,1.0,0.26
14947,1.0,1.0,1.0,1.0,0.26
14948,1.0,1.0,1.0,1.0,0.26
14955,1.0,1.0,1.0,1.0,0.26
15152,1.0,1.0,1.0,1.0,0.26
15155,1.0,1.0,1.0,0.0,0.02
17873,0.0,0.0,0.0,0.0,0.0
17899,1.0,1.0,0.0,0.0,0.01
17900,1.0,1.0,0.0,0.0,0.01
17907,1.0,1.0,1.0,1.0,0.26
71528,1.0,1.0,1.0,1.0,0.26
74651,1.0,1.0,1.0,1.0,0.26
75511,0.0,0.0,0.0,0.0,0.0
