xid,haz_1000yr_cT2,haz_100yr_cT2,haz_200yr_cT2,haz_50yr_cT2
14879,12.71644783,12.07610989,12.37253761,11.53380299
14880,12.71129704,12.07069302,12.36731339,11.52800751
14925,12.75349426,12.1150732,12.41010761,11.57549
14926,12.73591232,12.09288311,12.38871098,11.55174828
14927,12.75512886,12.11851025,12.41342163,11.57732868
14928,12.73566437,12.1000185,12.39559174,11.56122208
14933,12.73715401,12.09418869,12.38996983,11.55314541
14934,12.7277422,12.09168625,12.38755703,11.55046844
14935,12.73101044,12.08772659,12.38373947,11.54623222
14936,12.74042225,12.10132408,12.39685059,11.56078053
14937,12.73076153,12.08944607,12.385396,11.54807091
14938,12.74532413,12.10647964,12.40182209,11.56629658
14939,12.75022697,12.11163521,12.40679359,11.57181263
14940,12.74859238,12.10991669,12.40513611,11.56997395
14941,12.70500946,12.06407928,12.36093712,11.52093124
14942,12.69847298,12.06090355,12.35787487,11.51357651
14943,12.71719265,12.07689285,12.37329292,11.53068447
14944,12.70902252,12.0646019,12.36144066,11.5214901
14945,12.71957207,12.08309364,12.37927151,11.54127502
14946,12.71605492,12.07569695,12.37213898,11.53336143
14947,12.72660446,12.09049034,12.38640404,11.54918861
14948,12.7225914,12.08257103,12.37876797,11.54071617
14955,12.69797611,12.05668259,12.35380459,11.51301765
15152,12.68796921,12.04691601,12.34406662,11.50477123
15155,12.70639515,12.0692358,12.36590862,11.52644825
17873,12.82020378,,12.48132515,
17899,12.37804985,11.76035976,12.05109501,11.23510075
17900,12.34848881,11.73653126,12.02673435,11.21279907
17907,12.88474178,12.25310707,12.54320908,11.7271328
71528,12.85373402,12.22247601,12.51367283,11.69040298
74651,12.79835987,12.1585598,12.45204067,11.62201786
75511,,,,
