xid,0.001,0.005,0.01,0.02,ead
14879,85834.56,57470.442203,56812.88,51130.771383,13472.801773
14880,118533.958246,66625.198409,64998.555112,63854.72,16793.799426
14925,88858.072706,55134.768431,55071.92,20000.0,5831.935489
14926,72831.303181,48753.92,47294.467359,20000.0,5695.604728
14927,114097.721429,66787.877857,66581.6,54778.592351,14568.869471
14928,80523.9,71826.32,68647.634278,20000.0,5980.734595
14933,95027.639286,58840.88,58475.259095,20000.0,5892.954666
14934,116561.540315,111353.478514,62503.445159,57718.847053,15461.319649
14935,100139.901945,89162.186055,54493.198266,31660.773956,8868.610364
14936,119197.906339,65761.104465,62040.70639,39767.52,10868.545987
14937,100255.684842,96342.067135,55058.472166,51442.575933,13751.165204
14938,132739.253561,123120.440651,83893.284656,62796.3336,16967.763462
14939,111161.672377,106619.969412,59910.459793,55704.696202,14910.82161
14940,109608.052529,104393.417896,58718.224855,35378.727968,9907.421406
14941,66600.0,66600.0,66600.0,53526.075553,14112.88851
14942,109241.258245,103724.585857,58551.400038,55224.232939,14764.246565
14943,101747.687762,92147.729455,89234.683672,49536.644464,13526.845862
14944,120000.0,120000.0,120000.0,120000.0,31200.0
14945,15424.0,0.0,0.0,0.0,48.2
14946,106399.710816,102533.806835,57597.241038,53937.404774,14427.727979
14947,101292.822263,92068.504887,55070.187466,52149.312245,13908.947684
14948,122569.003231,117094.402823,65049.0989,60064.97593,16099.103492
14955,124000.0,115908.198362,112590.082885,59396.269659,16291.110056
15152,48219.28886,20000.0,20000.0,20000.0,5288.185278
15155,45081.227046,20000.0,20000.0,20000.0,5278.378835
17873,15000.0,15000.0,0.0,0.0,112.5
17899,209000.0,209000.0,209000.0,205714.57603,53535.071127
17900,91000.0,65172.40277,50887.78881,48455.68727,12822.806059
17907,112317.979821,59233.198651,57374.54573,53866.653868,14237.778222
71528,60325.273673,15000.0,15000.0,15000.0,4041.64148
74651,154515.359,154515.359,154212.678389,139707.530372,36543.805222
75511,0.0,0.0,0.0,0.0,0.0
