xid,haz_1000yr_cT2,haz_100yr_cT2,haz_200yr_cT2,haz_50yr_cT2
14879,12.896734237670898,12.076109886169434,12.372537612915039,11.53380298614502
14880,12.891536712646484,12.070693016052246,12.367313385009766,11.528007507324219
14925,12.934121131896973,12.115073204040527,12.410107612609863,11.57548999786377
14926,12.912829399108887,12.092883110046387,12.388710975646973,11.551748275756836
14927,12.937419891357422,12.118510246276855,12.413421630859375,11.5773286819458
14928,12.919675827026367,12.100018501281738,12.395591735839844,11.561222076416016
14933,12.914081573486328,12.094188690185547,12.389969825744629,11.553145408630371
14934,12.911681175231934,12.091686248779297,12.387557029724121,11.550468444824219
14935,12.907881736755371,12.087726593017578,12.383739471435547,11.546232223510742
14936,12.920928955078125,12.101324081420898,12.3968505859375,11.56078052520752
14937,12.909530639648438,12.089446067810059,12.385396003723145,11.548070907592773
14938,12.925875663757324,12.10647964477539,12.401822090148926,11.566296577453613
14939,12.93082332611084,12.111635208129883,12.406793594360352,11.571812629699707
14940,12.929174423217773,12.109916687011719,12.405136108398438,11.569973945617676
14941,12.885190963745117,12.064079284667969,12.360937118530273,11.520931243896484
14942,12.8821439743042,12.060903549194336,12.357874870300293,11.51357650756836
14943,12.897486686706543,12.076892852783203,12.373292922973633,11.530684471130371
14944,12.885692596435547,12.06460189819336,12.361440658569336,11.521490097045898
14945,12.903435707092285,12.083093643188477,12.379271507263184,11.541275024414062
14946,12.89633846282959,12.07569694519043,12.372138977050781,11.533361434936523
14947,12.91053295135498,12.090490341186523,12.386404037475586,11.549188613891602
14948,12.902935028076172,12.082571029663086,12.378767967224121,11.540716171264648
14955,12.878093719482422,12.056682586669922,12.353804588317871,11.513017654418945
15152,12.867807388305664,12.046916007995605,12.344066619873047,11.50477123260498
15155,12.890138626098633,12.069235801696777,12.3659086227417,11.526448249816895
17873,13.004990577697754,,12.481325149536133,
17899,12.545282363891602,11.760359764099121,12.051095008850098,11.235100746154785
17900,12.518464088439941,11.736531257629395,12.026734352111816,11.212799072265625
17907,13.066571235656738,12.253107070922852,12.543209075927734,11.727132797241211
71528,13.037179946899414,12.2224760055542,12.513672828674316,11.69040298461914
74651,12.975849151611328,12.158559799194336,12.452040672302246,11.622017860412598
75511,,,,
