,max,indep,compare
parameters.name,max,indep,False
parameters.cid,xid,xid,True
parameters.prec,6,6,True
parameters.ground_water,True,True,True
parameters.felv,ground,ground,True
parameters.event_probs,ari,ari,True
parameters.ltail,extrapolate,extrapolate,True
parameters.rtail,0.5,0.5,True
parameters.drop_tails,False,False,True
parameters.integrate,trapz,trapz,True
parameters.as_inun,False,False,True
parameters.event_rels,max,indep,False
dmg_fps.curves,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\data\CanFlood_curves_rfda_20200218.xls,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\data\CanFlood_curves_rfda_20200218.xls,True
dmg_fps.finv,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\finv_tut2c_finv_cT2.csv,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\finv_tut2c_finv_cT2.csv,True
dmg_fps.expos,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\expos_tut2c_6_32.csv,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\expos_tut2c_6_32.csv,True
dmg_fps.gels,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\gels_tut2c_1_32.csv,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\gels_tut2c_1_32.csv,True
risk_fps.dmgs,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\mod_out\dmgs_tag_run1.csv,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\out_indep\dmgs_indep_run1.csv,False
risk_fps.exlikes,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\exlikes_tut2c.csv,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\exlikes_tut2c.csv,True
risk_fps.evals,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\evals_6_tut2c.csv,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\evals_6_tut2c.csv,True
validation.risk1,False,False,True
validation.dmg2,True,True,True
validation.risk2,True,True,True
validation.risk3,False,False,True
plotting.color,red,black,False
plotting.linestyle,solid,dashdot,False
plotting.linewidth,2.0,2.0,True
plotting.alpha,0.75,0.75,True
plotting.marker,o,o,True
plotting.markersize,4.0,4.0,True
plotting.fillstyle,none,none,True
cf_fp,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\CanFlood_tut2c.txt,C:\LS\03_TOOLS\CanFlood\_git\tutorials\2\c\CanFlood_tut2c_indep.txt,False
