xid,haz_1000yr_fail_A_cT3,haz_1000yr_fail_B_cT3
14879,0.7712,0.0
14880,0.7712,0.0
14925,0.7712,0.2
14926,0.7712,0.2
14927,0.7712,0.2
14928,0.5263,0.2
14933,0.7712,0.2
14934,0.7712,0.2
14935,0.7712,0.2
14936,0.7712,0.2
14937,0.7712,0.2
14938,0.7712,0.2
14939,0.7712,0.2
14940,0.7712,0.2
14941,0.7712,0.0
14942,0.7712,0.2
14943,0.7712,0.2
14944,0.7712,0.2
14945,0.7712,0.2
14946,0.7712,0.2
14947,0.7712,0.2
14948,0.7712,0.2
14955,0.7712,0.0
15152,0.7712,0.2
15155,0.7712,0.0
17873,0.7712,0.2
17899,0.7712,0.0
17900,0.5263,0.0
17907,0.7712,0.2
71528,0.7712,0.2
74651,0.5263,0.2
75511,0.0,0.0
