,bid,xid,ftag,fcap,fscale,nestID,haz_1000yr_cT2_raw,haz_1000yr_fail_A_cT3_raw,haz_1000yr_fail_B_cT3_raw,haz_100yr_cT2_raw,haz_200yr_cT2_raw,haz_50yr_cT2_raw,haz_1000yr_cT2_scaled,haz_1000yr_fail_A_cT3_scaled,haz_1000yr_fail_B_cT3_scaled,haz_100yr_cT2_scaled,haz_200yr_cT2_scaled,haz_50yr_cT2_scaled,haz_1000yr_cT2_capped,haz_1000yr_fail_A_cT3_capped,haz_1000yr_fail_B_cT3_capped,haz_100yr_cT2_capped,haz_200yr_cT2_capped,haz_50yr_cT2_capped,haz_1000yr_cT2_dmg,haz_1000yr_fail_A_cT3_dmg,haz_1000yr_fail_B_cT3_dmg,haz_100yr_cT2_dmg,haz_200yr_cT2_dmg,haz_50yr_cT2_dmg
0,0,14879,BA_S,91300.0,117.99,f0,330.514407,951.2,907.5737783333334,312.0,317.57303333333334,263.84245599999997,38997.39488193,112232.088,107084.63010555001,36812.88,37470.442203,31130.771383439995,38997.39488193,91300.0,91300.0,36812.88,37470.442203,31130.771383439995,38997.39488193,91300.0,91300.0,36812.88,37470.442203,31130.771383439995
1,1,14880,BA_S,134000.0,140.56,f0,371.4951966666667,951.2,951.2,320.1377,331.7102903333334,312.0,52217.36484346667,133700.67200000002,133700.67200000002,44998.555112,46625.19840925334,43854.72,52217.36484346667,133700.67200000002,133700.67200000002,44998.555112,46625.19840925334,43854.72,52217.36484346667,133700.67200000002,133700.67200000002,44998.555112,46625.19840925334,43854.72
2,2,14925,BA_S,138000.0,112.41,f0,324.426413,927.4157100000001,847.0823766666667,312.0,312.5591,0.0,36468.77308533,104250.79996110001,95220.52996110001,35071.92,35134.768431,0.0,36468.77308533,104250.79996110001,95220.52996110001,35071.92,35134.768431,0.0,36468.77308533,104250.79996110001,95220.52996110001,35071.92,35134.768431,0.0
3,3,14926,BA_S,93000.0,92.16,f0,318.19056666666665,855.85799,807.7140893333334,296.16392533333334,312.0,0.0,29324.442624,78875.8723584,74438.93047296,27294.467358719998,28753.92,0.0,29324.442624,78875.8723584,74438.93047296,27294.467358719998,28753.92,0.0,29324.442624,78875.8723584,74438.93047296,27294.467358719998,28753.92,0.0
4,4,14927,BA_S,177000.0,149.3,f0,325.3539586666667,937.3212116666667,856.9878783333334,312.0,313.38163333333335,232.94435599999997,48575.346028933345,139942.05690183336,127948.29023516669,46581.600000000006,46787.87785666667,34778.5923508,48575.346028933345,139942.05690183336,127948.29023516669,46581.600000000006,46787.87785666667,34778.5923508,48575.346028933345,139942.05690183336,127948.29023516669,46581.600000000006,46787.87785666667,34778.5923508
5,5,14928,BA_S,133000.0,166.11,f0,316.85173333333336,842.5748733333334,802.180376,292.8639713333333,312.0,0.0,52632.24142400001,139960.11220940002,133250.18225736002,48647.634278180005,51826.32000000001,0.0,52632.24142400001,133000.0,133000.0,48647.634278180005,51826.32000000001,0.0,52632.24142400001,133000.0,133000.0,48647.634278180005,51826.32000000001,0.0
6,6,14933,BA_S,153000.0,124.49,f0,322.55619666666666,907.3046616666667,829.1468120000001,309.06305000000003,312.0,0.0,40155.020923033335,112950.35733088333,103220.48662588,38475.259094500005,38840.88,0.0,40155.020923033335,112950.35733088333,103220.48662588,38475.259094500005,38840.88,0.0,40155.020923033335,112950.35733088333,103220.48662588,38475.259094500005,38840.88,0.0
7,7,14934,BA_S,147000.0,117.52,f0,821.660486,951.2,951.2,361.66988733333335,777.344099,320.95683333333335,96561.54031472,111785.024,111785.024,42503.445159413335,91353.47851448,37718.84705333333,96561.54031472,111785.024,111785.024,42503.445159413335,91353.47851448,37718.84705333333,96561.54031472,111785.024,111785.024,42503.445159413335,91353.47851448,37718.84705333333
8,8,14935,BA_S,96000.0,99.96,f0,801.7197073333333,951.2,951.2,345.0700106666667,691.8986199999999,316.73443333333336,80139.90194504,95081.952,95081.952,34493.19826624,69162.18605519999,31660.773956,80139.90194504,95081.952,95081.952,34493.19826624,69162.18605519999,31660.773956,80139.90194504,95081.952,95081.952,34493.19826624,69162.18605519999,31660.773956
9,9,14936,BA_S,113000.0,127.46,f0,778.2669569999999,951.2,951.2,329.834508,359.023258,312.0,99197.90633921999,121239.952,121239.952,42040.70638968,45761.10446468,39767.52,99197.90633921999,113000.0,113000.0,42040.70638968,45761.10446468,39767.52,99197.90633921999,113000.0,113000.0,42040.70638968,45761.10446468,39767.52
