xid,0.5,0.02,0.01,0.005,0.001,0.0,ead
14879,0.0,51130.771383,56812.88,57470.442203,85834.56,92925.589449,13472.801773
14880,0.0,63854.72,64998.555112,66625.198409,118533.958246,131511.148205,16793.799426
14925,0.0,20000.0,55071.92,55134.768431,95822.21693,105994.079055,5853.69844
14926,0.0,20000.0,47294.467359,48753.92,76253.072762,83127.860952,5706.297758
14927,0.0,54778.592351,66581.6,66787.877857,123347.314283,137487.17339,14597.774449
14928,0.0,20000.0,68647.634278,71826.32,80523.9,82698.295,5980.734595
14933,0.0,20000.0,58475.259095,58840.88,102531.315574,113453.924468,5916.403654
14934,0.0,57718.847053,62503.445159,111353.478514,116561.540315,117863.555765,15461.319649
14935,0.0,31660.773956,54493.198266,89162.186055,100139.901945,102884.330918,8868.610364
14936,0.0,39767.52,62040.70639,65761.104465,119197.906339,132557.106808,10868.545987
14937,0.0,51442.575933,55058.472166,96342.067135,100255.684842,101234.089269,13751.165204
14938,0.0,62796.3336,83893.284656,123120.440651,132739.253561,135143.956788,16967.763462
14939,0.0,55704.696202,59910.459793,106619.969412,111161.672377,112297.098118,14910.82161
14940,0.0,35378.727968,58718.224855,104393.417896,109608.052529,110911.711187,9907.421406
14941,0.0,53526.075553,66600.0,66600.0,66600.0,66600.0,14112.88851
14942,0.0,55224.232939,58551.400038,103724.585857,109241.258245,110620.426342,14764.246565
14943,0.0,49536.644464,89234.683672,92147.729455,101747.687762,104147.677339,13526.845862
14944,0.0,120000.0,120000.0,120000.0,120000.0,120000.0,31200.0
14945,0.0,0.0,0.0,0.0,15424.0,19280.0,48.2
14946,0.0,53937.404774,57597.241038,102533.806835,106399.710816,107366.186811,14427.727979
14947,0.0,52149.312245,55070.187466,92068.504887,101292.822263,103598.901607,13908.947684
14948,0.0,60064.97593,65049.0989,117094.402823,122569.003231,123937.653333,16099.103492
14955,0.0,59396.269659,112590.082885,115908.198362,124000.0,126022.95041,16291.110056
15152,0.0,20000.0,20000.0,20000.0,49038.223056,56297.77882,5290.744447
15155,0.0,20000.0,20000.0,20000.0,45736.853656,52171.06707,5280.427668
17873,0.0,0.0,0.0,15000.0,15000.0,15000.0,112.5
17899,0.0,205714.57603,209000.0,209000.0,209000.0,209000.0,53535.071127
17900,0.0,48455.68727,50887.78881,65172.40277,91000.0,97456.899308,12822.806059
17907,0.0,53866.653868,57374.54573,59233.198651,112317.979821,125589.175114,14237.778222
71528,0.0,15000.0,15000.0,15000.0,64821.516761,77276.895951,4055.69224
74651,0.0,139707.530372,154212.678389,154515.359,154515.359,154515.359,36543.805222
75511,,0.0,0.0,0.0,0.0,,0.0
