xid,0.5,0.02,0.01,0.005,0.001,0.0,ead
14879,0.0,51130.771383,56812.88,57470.442203,99333.1639490016,109798.844386,13514.984911
14880,0.0,63854.72,64998.555112,66625.198409,135057.29132247838,152165.314551,16845.434842
14925,0.0,20000.0,55071.92,55134.768431,102721.00904578657,114617.569199,5875.257165
14926,0.0,20000.0,47294.467359,48753.92,81995.14216850526,90305.447711,5724.241724
14927,0.0,54778.592351,66581.6,66787.877857,132092.3980096112,148418.528048,14625.102835
14928,0.0,20000.0,68647.634278,71826.32,114898.56447774882,125666.625597,6088.155421
14933,0.0,20000.0,58475.259095,58840.88,109902.34964425537,122667.717055,5939.438136
14934,0.0,57718.847053,62503.445159,111353.478514,111020.065568112,110936.712332,15444.00254
14935,0.0,31660.773956,54493.198266,89162.186055,96901.380681936,98836.179339,8858.489985
14936,0.0,39767.52,62040.70639,65761.104465,112088.5797025632,123670.448512,10846.329342
14937,0.0,51442.575933,55058.472166,96342.067135,95676.9093132096,95510.619858,13736.85653
14938,0.0,62796.3336,83893.284656,123120.440651,114929.4505025568,112881.702965,16912.107828
14939,0.0,55704.696202,59910.459793,106619.969412,106248.62080061759,106155.783648,14895.468324
14940,0.0,35378.727968,58718.224855,104393.417896,106126.16731379522,106559.354668,9896.540515
14941,0.0,53526.075553,66600.0,66600.0,66600.0,66600.0,14112.88851
14942,0.0,55224.232939,58551.400038,103724.585857,105828.079468176,106353.952871,14753.580382
14943,0.0,49536.644464,89234.683672,92147.729455,88578.4002824256,87686.067989,13485.691838
14944,0.0,120000.0,120000.0,120000.0,101491.2,96864.0,31142.16
14945,0.0,0.0,0.0,0.0,16339.2,20424.0,51.06
14946,0.0,53937.404774,57597.241038,102533.806835,102140.5343889408,102042.216277,14414.418052
14947,0.0,52149.312245,55070.187466,92068.504887,88698.03328117442,87855.41538,13869.588969
14948,0.0,60064.97593,65049.0989,117094.402823,116966.8766754528,116934.995139,16081.596847
14955,0.0,59396.269659,112590.082885,115908.198362,124000.0,126022.95041,16291.110056
15152,0.0,20000.0,20000.0,20000.0,52475.36758125344,60594.209477,5301.485524
15155,0.0,20000.0,20000.0,20000.0,50312.853655846404,57891.06707,5294.727668
17873,0.0,0.0,0.0,15000.0,12686.4,12108.0,105.27
17899,0.0,205714.57603,209000.0,209000.0,209000.0,209000.0,53535.071127
17900,0.0,48455.68727,50887.78881,65172.40277,91000.0,97456.899308,12822.806059
17907,0.0,53866.653868,57374.54573,59233.198651,120772.61929190403,136157.474452,14264.19897
71528,0.0,15000.0,15000.0,15000.0,69792.34464994144,83490.430812,4071.226077
74651,0.0,139707.530372,154212.678389,154515.359,138251.07231166,134185.00064,36492.979326
75511,,0.0,0.0,0.0,0.0,,0.0
