xid,0.001,0.005,0.01,0.02,ead
14879,111300.0,111300.0,111300.0,111300.0,28938.0
14880,153700.67,153700.67,153700.67,153700.67,39962.17
14925,126924.39,126924.39,126924.39,126924.39,33000.34
14926,107662.59,107662.59,107662.59,107662.59,27992.27
14927,162014.16,162014.16,162014.16,162014.16,42123.68
14928,153000.0,153000.0,153000.0,153000.0,39780.0
14933,138414.89,138414.89,138414.89,138414.89,35987.87
14934,131785.02,131785.02,131785.02,131785.02,34264.11
14935,115081.95,115081.95,115081.95,115081.95,29921.31
14936,133000.0,133000.0,133000.0,133000.0,34580.0
14937,113579.06,113579.06,113579.06,113579.06,29530.56
14938,136000.0,136000.0,136000.0,136000.0,35360.0
14939,126134.9,126134.9,126134.9,126134.9,32795.07
14940,126039.78,126039.78,126039.78,126039.78,32770.34
14941,66600.0,66600.0,66600.0,66600.0,17316.0
14942,125687.83,125687.83,125687.83,125687.83,32678.84
14943,104837.53,104837.53,104837.53,104837.53,27257.76
14944,120000.0,120000.0,120000.0,120000.0,31200.0
14945,125602.22,125602.22,125602.22,125602.22,32656.58
14946,121274.26,121274.26,121274.26,121274.26,31531.31
14947,105000.0,105000.0,105000.0,105000.0,27300.0
14948,138852.44,138852.44,138852.44,138852.44,36101.63
14955,124000.0,124000.0,124000.0,124000.0,32240.0
15152,145215.97,145215.97,145215.97,145215.97,37756.15
15155,135409.1,135409.1,135409.1,130048.33,33892.98
17873,283371.47,255762.48,131545.92,131545.92,35219.84
17899,209000.0,209000.0,209000.0,209000.0,54340.0
17900,91000.0,91000.0,91000.0,91000.0,23660.0
17907,145640.53,145640.53,145640.53,145640.53,37866.54
71528,150934.2,150934.2,150934.2,150934.2,39242.89
74651,154515.36,154515.36,154515.36,154515.36,40173.99
75511,0.0,0.0,0.0,0.0,0.0
