haz_50yr_cT2_a,haz_200yr_cT2_a,haz_100yr_cT2_a,haz_1000yr_cT2_a,haz_50yr_cT2_a_pct_raw,haz_200yr_cT2_a_pct_raw,haz_100yr_cT2_a_pct_raw,haz_1000yr_cT2_a_pct_raw,haz_50yr_cT2_a_pct,haz_200yr_cT2_a_pct,haz_100yr_cT2_a_pct,haz_1000yr_cT2_a_pct,xid,haz_50yr_cT2,haz_200yr_cT2,haz_100yr_cT2,haz_1000yr_cT2,area,perimeter
399.1425,399.1425,399.1425,24819.794,0.0162,0.0162,0.0162,1.0092,0.0162,0.0162,0.0162,1.0,1,4.0,4.0,4.0,249.0,24594.08740234375,624.2660063868317
,,,16546.5293,,,,0.9792,,,,0.9792,2,,,,166.0,16898.62518310547,575.874795771501
48495.8166,48495.8166,48495.8166,235140.1366,0.1994,0.1994,0.1994,0.967,0.1994,0.1994,0.1994,0.967,3,486.0,486.0,486.0,2359.0,243163.91430664062,3031.9488436227443
3292.9258,3292.9258,3292.9258,7176.8079,0.4647,0.4647,0.4647,1.0129,0.4647,0.4647,0.4647,1.0,4,33.0,33.0,33.0,72.0,7085.640197753906,343.45691608557115
48096.6741,48296.2454,48296.2454,164867.2259,0.2921,0.2933,0.2933,1.0012,0.2921,0.2933,0.2933,1.0,5,482.0,484.0,484.0,1654.0,164661.86364746094,2374.8654086268148
23349.8376,24347.6939,24347.6939,24022.3709,0.9702,1.0116,1.0116,0.9981,0.9702,1.0,1.0,0.9981,6,234.0,244.0,244.0,241.0,24067.40155029297,847.0380942692927
584145.0833,591928.3625,591329.6487,901586.4924,0.648,0.6567,0.656,1.0002,0.648,0.6567,0.656,1.0,7,5854.0,5932.0,5926.0,9045.0,901432.4475097656,4431.553106509482
9180.278,9180.278,9180.278,9569.0772,0.9894,0.9894,0.9894,1.0313,0.9894,0.9894,0.9894,1.0,8,92.0,92.0,92.0,96.0,9278.750366210938,437.3153709730544
88210.4977,89607.4965,89607.4965,89909.4545,0.9829,0.9985,0.9985,1.0019,0.9829,0.9985,0.9985,1.0,9,884.0,898.0,898.0,902.0,89741.1107788086,1214.9528398849025
104874.6981,105573.1975,105573.1975,105459.205,0.994,1.0006,1.0006,0.9995,0.994,1.0,1.0,0.9995,10,1051.0,1058.0,1058.0,1058.0,105508.41339111328,2806.111154596796
38317.6823,38317.6823,38317.6823,38076.953,1.0049,1.0049,1.0049,0.9986,1.0,1.0,1.0,0.9986,11,384.0,384.0,384.0,382.0,38131.6181640625,800.0691413081527
81225.5036,81225.5036,81225.5036,81536.512,0.9996,0.9996,0.9996,1.0034,0.9996,0.9996,0.9996,1.0,12,814.0,814.0,814.0,818.0,81256.87243652344,1353.7245441031444
29436.7611,29436.7611,29436.7611,29404.9768,1.0025,1.0025,1.0025,1.0014,1.0,1.0,1.0,1.0,13,295.0,295.0,295.0,295.0,29364.70343017578,718.3894560285694
21653.4819,21653.4819,21653.4819,21430.7458,1.0016,1.0016,1.0016,0.9913,1.0,1.0,1.0,0.9913,14,217.0,217.0,217.0,215.0,21619.710510253906,589.4207247935392
72045.2255,72643.9393,72643.9393,73063.8915,0.9894,0.9976,0.9976,1.0034,0.9894,0.9976,0.9976,1.0,15,722.0,728.0,728.0,733.0,72818.76965332031,1166.746430578293
13371.2745,25744.6928,25744.6928,25816.5729,0.5195,1.0002,1.0002,1.003,0.5195,1.0,1.0,1.0,16,134.0,258.0,258.0,259.0,25739.58477783203,647.5115193902316
24846.6221,136307.1718,97091.4189,155298.1487,0.146,0.8011,0.5706,0.9127,0.146,0.8011,0.5706,0.9127,17,249.0,1366.0,973.0,1558.0,170154.99603271484,1753.1681575718906
399.1425,12872.3464,7783.2792,17443.6303,0.0144,0.464,0.2806,0.6288,0.0144,0.464,0.2806,0.6288,18,4.0,129.0,78.0,175.0,27740.05596923828,691.7565039903436
798.285,8681.3499,7982.8505,8173.5868,0.0941,1.0235,0.9411,0.9636,0.0941,1.0,0.9411,0.9636,19,8.0,87.0,80.0,82.0,8482.119689941406,400.3721466323462
6685.6373,14069.774,13969.9883,14253.9379,0.4746,0.9987,0.9916,1.0118,0.4746,0.9987,0.9916,1.0,20,67.0,141.0,140.0,143.0,14087.845031738281,479.99503574910193
7783.2792,15366.9872,15366.9872,15350.3947,0.5044,0.9959,0.9959,0.9948,0.5044,0.9959,0.9959,0.9948,21,78.0,154.0,154.0,154.0,15431.012939453125,508.31734934595517
