xid,haz_50yr_cT2,haz_200yr_cT2,haz_100yr_cT2,haz_1000yr_cT2
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.92
5,0.0,0.0,0.0,0.9474
6,0.0,1.0,0.75,1.0
7,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,1.0
9,0.2558,0.2558,0.2558,1.0
10,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,1.0
16,0.0,0.0,0.0,1.0
17,0.3333,0.3333,0.3333,1.0
18,0.0,0.0,0.0,1.0
19,0.0526,0.0526,0.0526,1.0
20,0.0,0.0,0.0,1.0
21,0.0,0.0,0.0,1.0
22,0.2857,0.2857,0.2857,1.0
23,0.0,0.0,0.0,1.0
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0
48,0.6364,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0
51,0.5,1.0,1.0,1.0
52,0.1111,1.0,0.8889,1.0
53,0.6364,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0
60,0.0,0.0,0.0,1.0
61,0.0,1.0,0.1579,1.0
62,0.0556,1.0,0.8333,1.0
63,0.1429,1.0,1.0,1.0
64,0.0,1.0,0.0,1.0
65,0.0,1.0,0.0,1.0
66,0.0,1.0,0.6,1.0
67,0.0,1.0,1.0,1.0
68,0.7778,1.0,1.0,1.0
69,0.0,1.0,1.0,1.0
70,0.3571,0.4405,0.5238,0.6131
71,0.375,1.0,0.825,1.0
72,0.0,0.0,0.0,0.0
73,1.0,1.0,1.0,1.0
74,0.9565,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0
76,0.0476,0.1429,0.0714,0.2857
77,0.0,0.0,0.0,0.0
78,0.3333,1.0,1.0,1.0
79,0.0,0.9444,0.2778,1.0
80,0.8,1.0,1.0,1.0
81,0.0,0.9,0.5,1.0
82,0.0,1.0,0.9231,1.0
83,0.4516,1.0,1.0,1.0
84,0.6,1.0,1.0,1.0
85,0.8542,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0
87,0.3404,1.0,1.0,1.0
88,0.8636,1.0,1.0,1.0
89,0.0,1.0,0.5455,1.0
90,0.0,0.625,0.125,1.0
91,0.0,0.3333,0.1333,1.0
92,0.0,0.0,0.0,0.6667
93,0.6,1.0,1.0,1.0
94,0.0,1.0,0.8889,1.0
95,0.0,1.0,1.0,1.0
96,0.0,0.8947,0.4737,1.0
97,0.0,0.1667,0.1667,1.0
98,0.0,0.3333,0.0,0.9444
99,0.0,0.0,0.0,1.0
100,0.0,0.6667,0.0833,1.0
101,0.0,0.9688,0.7812,1.0
102,0.5714,1.0,1.0,1.0
103,0.0,1.0,0.8,1.0
104,0.1373,1.0,0.9412,1.0
105,0.125,1.0,0.75,1.0
106,0.0,0.875,0.25,1.0
107,0.0,0.08,0.04,0.52
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.4,1.0,1.0,1.0
112,0.0455,0.6364,0.3636,0.8409
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0
132,0.7966,0.9492,0.9322,0.9661
133,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0
135,0.3889,0.7778,0.6111,0.9444
136,0.2308,1.0,1.0,1.0
137,0.4583,0.9583,0.9583,1.0
138,0.0,0.9756,0.3902,1.0
139,0.0,0.8095,0.5238,0.9524
140,0.0,0.375,0.0,0.875
141,0.1111,0.1667,0.1667,0.1667
142,1.0,1.0,1.0,1.0
143,0.2,1.0,1.0,1.0
144,0.1,1.0,1.0,1.0
145,1.0,1.0,1.0,1.0
146,0.875,1.0,1.0,1.0
147,1.0,1.0,1.0,1.0
148,0.4444,1.0,0.8889,1.0
149,0.0,0.9655,0.5862,1.0
150,0.0,1.0,0.4444,1.0
151,0.0,0.6667,0.0,1.0
152,0.0,1.0,1.0,1.0
153,0.0769,1.0,0.5769,1.0
154,0.0,1.0,1.0,1.0
155,0.0,0.9412,0.8824,1.0
156,0.0,1.0,0.36,1.0
157,0.0,1.0,0.75,1.0
158,0.0,0.9286,0.0,1.0
159,0.0,0.7727,0.0,1.0
160,0.0,1.0,0.2222,1.0
161,0.0,1.0,0.9722,1.0
162,0.0,0.7857,0.3571,1.0
163,0.3529,1.0,1.0,1.0
164,0.9333,1.0,1.0,1.0
165,0.4167,1.0,0.9167,1.0
166,0.0,1.0,1.0,1.0
167,0.1667,1.0,1.0,1.0
168,1.0,1.0,1.0,1.0
169,1.0,1.0,1.0,1.0
170,0.3889,1.0,0.9167,1.0
171,0.6522,1.0,0.9565,1.0
172,0.8125,1.0,1.0,1.0
173,0.0,1.0,0.0,1.0
174,0.9667,1.0,1.0,1.0
175,1.0,1.0,1.0,1.0
176,1.0,1.0,1.0,1.0
177,1.0,1.0,1.0,1.0
178,1.0,1.0,1.0,1.0
179,1.0,1.0,1.0,1.0
180,0.0,1.0,1.0,1.0
181,0.3516,0.9688,0.7969,1.0
182,0.0909,1.0,1.0,1.0
183,0.0,1.0,1.0,1.0
184,0.0,1.0,0.4615,1.0
185,0.1304,0.9565,0.5652,1.0
186,0.0,0.7143,0.1714,0.9714
187,0.0,1.0,1.0,1.0
188,0.0,1.0,1.0,1.0
189,1.0,1.0,1.0,1.0
190,1.0,1.0,1.0,1.0
191,1.0,1.0,1.0,1.0
192,1.0,1.0,1.0,1.0
193,1.0,1.0,1.0,1.0
194,1.0,1.0,1.0,1.0
195,1.0,1.0,1.0,1.0
196,1.0,1.0,1.0,1.0
197,1.0,1.0,1.0,1.0
198,1.0,1.0,1.0,1.0
199,1.0,1.0,1.0,1.0
200,0.0,1.0,1.0,1.0
201,0.8542,1.0,1.0,1.0
202,0.9756,1.0,1.0,1.0
203,0.0526,1.0,0.1579,1.0
204,1.0,1.0,1.0,1.0
205,0.0,1.0,0.9231,1.0
206,0.6,1.0,1.0,1.0
207,0.0,1.0,0.7857,1.0
208,0.0,1.0,0.7333,1.0
209,1.0,1.0,1.0,1.0
210,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0
