xid,haz_50yr_cT2,haz_200yr_cT2,haz_100yr_cT2,haz_1000yr_cT2
1,0.0162,0.0162,0.0162,1.0
2,,,,0.9792
3,0.1994,0.1994,0.1994,0.967
4,0.4647,0.4647,0.4647,1.0
5,0.2921,0.2933,0.2933,1.0
6,0.9702,1.0,1.0,0.9981
7,0.648,0.6567,0.656,1.0
8,0.9894,0.9894,0.9894,1.0
9,0.9829,0.9985,0.9985,1.0
10,0.994,1.0,1.0,0.9995
11,1.0,1.0,1.0,0.9986
12,0.9996,0.9996,0.9996,1.0
13,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,0.9913
15,0.9894,0.9976,0.9976,1.0
16,0.5195,1.0,1.0,1.0
17,0.146,0.8011,0.5706,0.9127
18,0.0144,0.464,0.2806,0.6288
19,0.0941,1.0,0.9411,0.9636
20,0.4746,0.9987,0.9916,1.0
21,0.5044,0.9959,0.9959,0.9948
22,0.4236,0.9967,0.9884,0.9956
23,0.8629,0.9902,0.9902,0.9891
24,0.4441,1.0,1.0,0.9717
25,0.5647,1.0,0.992,1.0
26,0.0494,0.9113,0.6405,0.994
27,0.0276,0.9214,0.6911,1.0
28,0.2008,0.9207,0.6735,0.9907
29,0.2037,0.942,0.9038,1.0
30,0.1819,1.0,0.9549,0.9993
31,0.4441,1.0,1.0,0.9705
32,0.2526,1.0,0.6549,1.0
33,0.3891,0.9837,0.9616,0.9973
34,0.0,0.9802,0.4302,1.0
35,0.6041,1.0,0.9397,1.0
36,0.3878,0.9955,0.8393,0.9944
37,0.5684,0.9998,0.9861,0.9988
38,0.7215,0.9972,0.9972,0.9961
39,0.9404,1.0,1.0,1.0
40,0.8547,0.9932,0.9932,0.9922
42,0.2292,0.9802,0.8095,1.0
43,0.0,0.9551,0.3334,0.9992
44,0.0,0.8751,0.2878,0.9798
45,0.0232,0.9692,0.793,0.9681
46,0.4926,0.998,0.998,1.0
47,0.0491,0.9906,0.9824,0.9977
48,0.5447,0.9969,0.9969,0.9855
49,0.9565,0.9942,0.9942,0.9884
50,0.7265,1.0,0.983,1.0
51,0.442,0.8525,0.7972,0.9777
52,0.0382,1.0,0.9627,0.9998
53,0.0356,0.9866,0.5867,0.9856
