xid,0.001,0.005,0.01,0.02,ead
1,2577188.0,41750.4456,41750.4456,41750.4456,18778.3582
2,2507731.2,0.0,0.0,0.0,7836.66
3,19261920.3586,3971899.6065,3971899.6065,3971899.6065,1080475.2125
4,947000.0,440070.9,440070.9,440070.9,116002.5874
5,35253080.7,10339728.5693,10339728.5693,10297424.8725,2755819.2477
6,1892397.6,1896000.0,1896000.0,1839499.2,479106.0465
7,15173864.7,9964676.9485,9954055.2432,9832664.3256,2574671.9629
8,1025000.0,1014135.0,1014135.0,1014135.0,263709.0531
9,34643240.4,34591275.5394,34591275.5394,34050840.9892,8861487.5656
10,10910941.8,10916400.0,10916400.0,10850901.6,2822199.8351
11,4612533.4,4619000.0,4619000.0,4619000.0,1200919.7919
12,11426100.0,11421529.56,11421529.56,11421529.56,2969611.9682
13,8491000.0,8491000.0,8491000.0,8491000.0,2207660.0
14,6287320.25,6342500.0,6342500.0,6342500.0,1648877.5633
15,13345400.0,13313371.04,13313371.04,13203938.76,3434765.6523
16,3276900.0,3276900.0,3276900.0,1702349.55,466229.1398
17,13519634.802,11866527.2707,8452178.8299,2162667.559,687409.8087
18,19527181.5264,14409370.592,8713942.6468,447187.3632,298978.9124
19,754730.4494,783240.4,737107.5404,73702.9216,29370.7317
20,1143304.9,1141818.6036,1133701.1388,542612.5055,150011.1066
21,3770689.92,3774859.36,3774859.36,1911877.76,525019.9121
22,2120369.5422,2122712.2567,2105035.4114,902158.0334,252729.5047
23,647168.13,647887.86,647887.86,564595.47,148041.9589
24,269938.26,277800.0,277800.0,123370.98,34368.3222
25,1028500.0,1028500.0,1020272.0,580793.95,157660.3077
26,9414214.1576,8630959.1165,6066201.3762,467869.3958,227304.3777
27,476700.0,439231.38,329447.37,13156.92,9105.6255
28,2446236.44,2273392.44,1663006.2,495815.36,151537.8905
29,2460400.0,2317696.8,2223709.52,501183.48,157296.4475
30,2903813.4068,2905847.5,2774793.7778,528573.6603,172098.9998
31,3530679.0,3638000.0,3638000.0,1615635.8,450065.3929
32,2116400.0,2116400.0,1386030.36,534602.64,157245.8745
33,2205528.95,2175452.55,2126578.4,860494.65,243180.4101
34,2061900.0,2021074.38,887029.38,0.0,21938.3583
35,4716900.0,4716900.0,4432470.93,2849479.29,766742.708
36,6994709.04,7002446.55,5903720.13,2727823.98,765088.9455
37,1351975.68,1353329.28,1334784.96,769386.24,208656.2556
38,12412003.66,12425710.32,12425710.32,8990322.9,2388971.932
39,6048000.0,6048000.0,6048000.0,5687539.2,1484167.104
40,2243404.2849,2245665.3253,2245665.3253,1932511.2299,507143.1655
42,4954080.7,4855989.9021,4010328.3266,1135475.2964,344995.3681
43,6951066.5945,6644279.1277,2319341.0755,0.0,68185.8624
44,6381294.6431,5699398.7979,1874399.4675,0.0,58934.4115
45,714898.1887,715710.4891,585594.7357,17132.1537,13954.6284
46,22119000.0,22074762.0,22074762.0,10895819.4,3000735.4268
47,8152097.3521,8094084.0302,8027082.729,401190.7186,219381.7684
48,3370309.8732,3409296.715,3409296.715,1862818.6585,507408.1882
49,14428366.68,14513033.34,14513033.34,13962700.05,3638292.429
50,3359100.0,3359100.0,3301995.3,2440386.15,647852.8215
51,6766075.08,5899641.0,5516942.88,3058816.8,837742.1016
52,6114576.84,6115800.0,5887680.66,233623.56,147260.0548
53,2431814.8378,2434282.1824,1447591.0768,87837.4678,50626.5186
54,1320000.0,1271820.0,788172.0,214896.0,68250.0225
55,4925570.281,4898335.2991,3232544.7667,555098.4503,197065.8301
56,4889573.57,4894471.47,4529577.92,1322433.0,394661.1495
57,17803760.7,17864500.0,17289263.1,13016074.7,3452401.7144
58,45700.0,45270.42,45270.42,30312.81,8107.0372
59,2270696.996,2273002.5062,2273002.5062,944106.4269,265393.9075
60,2207020.4,2151182.7839,1307659.587,379607.5088,119119.65
61,3443496.4,3113609.4449,1687313.236,60261.187,51801.8077
62,382990.1282,392046.4,392046.4,258201.759,69111.8261
63,2981175.9,2981175.9,2040018.6684,160983.4986,77099.9164
64,5134300.0,5134300.0,5044449.75,4118735.46,1085430.8108
65,264354.2037,267240.4,267240.4,209275.9572,55272.1962
66,8901166.75,8327365.05,6674743.75,2527804.65,733621.0856
67,2569900.0,2415449.01,1207596.01,197368.32,76010.7354
68,8483890.3232,8465190.2344,7900787.5518,3611667.166,1007661.7268
69,1975046.4442,1552194.2085,459709.0862,0.0,16410.6879
70,7637139.75,6162327.57,3837024.66,912530.22,303173.8337
71,5846473.8336,5456747.923,3810653.3485,1847979.6183,523478.4095
72,59519699.3933,59489927.6349,59489927.6349,58322874.7056,15181546.2541
73,2337110.55,1844154.0,1238656.77,633159.54,179785.6573
74,1326800.0,1313797.36,1149672.2,533771.64,149290.7068
75,9479690.43,7006211.67,4815212.73,2786817.72,779160.6455
76,6049180.7,5914888.8885,4783692.0976,437355.7646,187811.1816
77,2844300.0,2633537.37,1876100.28,180328.62,78661.4275
78,2056021.99,1966620.69,1289873.64,91480.4,47115.7845
79,760828.6,380786.0,179242.0,908.6,5610.4501
80,17096282.4,16250937.52,13107149.84,2873483.92,926830.9184
81,2276000.0,2148316.4,1380166.4,133601.2,59594.9262
82,1052963.7,637094.4,359106.9,0.0,8771.1013
85,12762704.2805,10781701.5676,8320731.6839,1870441.1695,607716.9694
87,1228940.2,1210825.0,658688.8,67806.2,30690.4825
88,1305400.0,1251878.6,1154495.76,278180.74,86369.3434
89,4379562.5,2823321.0,550827.0,0.0,30169.3647
90,949418.7,717205.8,501193.8,440641.5,117820.8298
91,23197108.7,19837658.8,13742554.8,4761800.0,1428990.8829
92,1606591.8,785751.9,593864.4,438600.0,120369.2469
93,2883300.0,2734521.72,1882506.57,0.0,35092.6443
94,473950.6,233336.2,69986.4,0.0,3026.8395
95,2800609.35,2819500.0,2415183.7,180448.0,83410.8545
96,1604049.15,1594864.74,1506887.76,252974.1,85270.4995
97,15218152.1686,12771473.3778,10169701.106,1103062.8184,449955.0704
98,3512039.85,3172539.15,1826485.65,233362.8,95727.5117
99,13234196.0162,11651774.3439,5705745.2581,1115129.3664,408333.1595
100,4987540.4,4986044.1379,4986044.1379,4718711.9724,1230879.7711
101,8817689.86,8827400.0,8698519.96,7743395.28,2028545.8991
102,15569111.7,15203404.8,13759331.4,7623582.3,2086141.0191
103,19846780.7,19521293.4965,17717221.1309,12745602.5655,3402978.6358
104,4818727.5,4824035.0,4824035.0,4773855.0,1241938.4141
105,2941229.96,2944222.36,2944222.36,2931055.8,762262.6552
106,9873027.6713,9883906.4958,9883906.4958,9883906.4958,2569781.6926
107,6265256.69,6279700.0,6279700.0,6231346.31,1620830.2106
108,7802900.0,7791195.65,7586759.67,6472505.55,1701135.1007
109,6577300.0,6577300.0,6571380.43,5805782.71,1521031.8672
110,6124900.0,6100400.4,6100400.4,6089988.07,1583629.6444
111,3605056.0,3620708.0,3620708.0,3620708.0,941335.1675
112,31470756.439,31455010.0383,31303844.5916,29304051.7027,7650233.2844
113,16490034.3924,13602528.1112,6162631.6788,32443.8908,165210.9088
114,5695485.6,5695485.6,5695485.6,4937986.0152,1295238.8577
115,2080500.0,2065728.45,2065728.45,2065728.45,537135.5581
116,0.0,0.0,0.0,0.0,0.0
118,3869393.1701,3185357.9659,2797397.7008,1577364.762,433462.6442
119,19396223.4276,14128780.7833,15289921.6428,10452618.2238,2797992.4913
120,1630436.3588,1419139.3076,1369747.3661,826770.8708,224135.8167
121,13705040.4,13705040.4,13705040.4,13580324.5324,3532755.1164
122,36796979.18,36896600.0,35715908.8,32243938.74,8444047.4922
123,4957680.7,4957680.7,4957680.7,4331029.8595,1135467.5261
124,5450674.7,5450674.7,5450674.7,5287699.5265,1377246.5045
125,11134700.0,11103522.84,11103522.84,7316611.37,1959220.0569
126,6121553.58,6055650.2,5946225.72,4888041.26,1287790.1262
127,529804.2,537000.0,537000.0,349587.0,93681.3281
128,4755905.3,4755905.3,4755905.3,4057262.8114,1065367.9683
129,10978000.0,10890176.0,10890176.0,9569522.6,2508160.127
130,10068226.7527,10129444.1833,9964157.1207,9417281.4073,2457744.6501
131,25037190.41,25094908.7,25094908.7,25094908.7,6524495.8923
132,35950605.9,15552232.1123,15552232.1123,15383264.2646,4065928.1446
133,9063561.6,8209774.0973,6457787.64,2078274.6749,621852.0943
134,3097044.3269,1994195.9108,836065.3157,20187.3126,29619.2521
135,2258500.0,2258500.0,2258500.0,1756661.3,464259.5185
136,1456390.17,1467100.0,1450815.19,1257891.54,330034.323
137,3323500.0,3279962.15,3279962.15,3233100.8,841445.184
138,2643848.01,2645700.0,2645700.0,2645700.0,687876.2125
139,14523551.46,14514807.6,14514807.6,14514807.6,3773877.3006
140,1748600.0,1748600.0,1748600.0,1748600.0,454636.0
