xid,0.001,0.005,0.01,0.02,ead
1,91.972,0.0,0.0,0.0,0.287
2,21.669,0.0,0.0,0.0,0.068
3,105.07,0.0,0.0,0.0,0.328
4,216.571,0.0,0.0,0.0,0.677
5,167.26,0.0,0.0,0.0,0.523
6,75.795,75.795,56.846,0.0,0.995
7,77.712,0.0,0.0,0.0,0.243
8,215.041,0.0,0.0,0.0,0.672
9,410.144,104.997,104.997,104.997,28.253
10,47.93,0.0,0.0,0.0,0.15
11,24.474,0.0,0.0,0.0,0.076
12,61.902,0.0,0.0,0.0,0.193
13,26.038,0.0,0.0,0.0,0.081
14,26.077,0.0,0.0,0.0,0.081
15,55.044,0.0,0.0,0.0,0.172
16,134.136,0.0,0.0,0.0,0.419
17,137.03,45.631,45.631,45.631,12.15
18,173.311,0.0,0.0,0.0,0.542
19,179.792,9.529,9.529,9.529,3.01
20,77.334,0.0,0.0,0.0,0.242
21,68.166,0.0,0.0,0.0,0.213
22,58.582,16.754,16.754,16.754,4.487
23,78.507,0.0,0.0,0.0,0.245
24,243.362,243.362,243.362,243.362,63.274
25,244.923,244.923,244.923,244.923,63.68
26,245.803,245.803,245.803,245.803,63.909
27,57.928,57.928,57.928,57.928,15.061
28,102.41,102.41,102.41,102.41,26.627
29,154.49,154.49,154.49,154.49,40.167
30,210.089,210.089,210.089,210.089,54.623
31,209.934,209.934,209.934,209.934,54.583
32,100.199,100.199,100.199,100.199,26.052
33,92.591,92.591,92.591,92.591,24.074
34,212.646,212.646,212.646,212.646,55.288
35,211.566,211.566,211.566,211.566,55.007
36,210.411,210.411,210.411,210.411,54.707
37,100.812,100.812,100.812,100.812,26.211
38,241.974,241.974,241.974,241.974,62.913
39,109.234,109.234,109.234,109.234,28.401
40,241.964,241.964,241.964,241.964,62.911
41,189.185,189.185,189.185,189.185,49.188
42,264.885,264.885,264.885,264.885,68.87
43,86.263,86.263,86.263,86.263,22.428
44,106.384,106.384,106.384,106.384,27.66
45,265.415,265.415,265.415,265.415,69.008
46,98.612,98.612,98.612,98.612,25.639
47,68.639,68.639,68.639,68.639,17.846
48,101.104,101.104,101.104,64.302,17.271
49,215.732,215.732,215.732,215.732,56.09
50,204.785,204.785,204.785,204.785,53.244
51,91.113,91.113,91.113,45.557,12.528
52,83.606,83.606,74.325,9.28,3.458
53,97.592,97.592,97.592,62.069,16.671
54,264.535,264.535,264.535,264.535,68.779
55,102.513,102.513,102.513,102.513,26.653
56,59.782,59.782,59.782,59.782,15.543
57,44.742,44.742,44.742,44.742,11.633
