xid,f0_tag,f0_scale,f0_cap,f0_elv,f1_tag,f1_scale,f1_cap,f1_elv
14879,BA_S,117.99,91300.0,3.0,BA_C,117.99,20000.0,1.0
14880,BA_S,140.56,134000.0,3.0,BA_C,140.56,20000.0,-2.0
14925,BA_S,112.41,138000.0,3.0,BA_C,112.41,20000.0,1.0
14926,BA_S,92.16,93000.0,3.0,BA_C,92.16,20000.0,1.0
14927,BA_S,149.3,177000.0,3.0,BA_C,149.3,20000.0,1.0
14928,BA_S,166.11,133000.0,3.0,BA_C,166.11,20000.0,1.0
14933,BA_S,124.49,153000.0,3.0,BA_C,124.49,20000.0,1.0
14934,BA_S,117.52,147000.0,2.0,BA_C,117.52,20000.0,3.0
14935,BA_S,99.96,96000.0,2.0,BA_C,99.96,20000.0,3.0
14936,BA_S,127.46,113000.0,2.0,BA_C,127.46,20000.0,3.0
14937,BA_S,98.38,138000.0,2.0,BA_C,98.38,20000.0,3.0
14938,BA_S,131.46,116000.0,2.0,BA_C,131.46,20000.0,3.0
14939,BA_S,111.58,108000.0,2.0,BA_C,111.58,20000.0,0.2
14940,BA_S,111.48,159000.0,2.0,BA_C,111.48,20000.0,3.0
14941,BA_S,102.56,46600.0,2.0,BA_C,102.56,20000.0,3.0
14942,BA_S,111.11,113000.0,2.0,BA_C,111.11,20000.0,2.0
14943,BA_S,89.19,120000.0,2.0,BA_C,89.19,20000.0,2.0
14944,BA_S,107.02,100000.0,0.0,BA_C,107.02,20000.0,1.0
14945,BA_S,111.02,110000.0,6.0,BA_C,111.02,20000.0,5.0
14946,BA_S,106.47,145000.0,2.0,BA_C,106.47,20000.0,2.0
14947,BA_S,101.45,85000.0,2.0,BA_C,101.45,20000.0,2.0
14948,BA_S,124.95,130000.0,2.0,BA_C,124.95,20000.0,2.0
14955,BA_S,119.47,104000.0,2.0,BA_C,119.47,20000.0,2.0
15152,BA_S,131.64,175000.0,4.0,BA_C,131.64,20000.0,1.0
15155,BA_S,121.33,153000.0,4.0,BA_C,121.33,20000.0,1.0
17873,CA_S,265.42,382937.594,4.0,CA_C,265.42,15000.0,1.0
17899,CA_S,255.58,194000.0,4.0,CA_C,255.58,15000.0,1.0
17900,CA_S,92.16,76000.0,1.1,CA_C,92.16,15000.0,0.2
17907,CA_S,117.62,158966.688,3.0,CA_C,117.62,15000.0,3.0
71528,CA_S,137.619,135934.203,4.0,CA_C,137.619,15000.0,1.0
74651,CA_S,137.619,139515.359,1.1,CA_C,137.619,15000.0,0.2
75511,CA_S,137.619,358502.594,3.0,CA_C,137.619,15000.0,-2.0
